C1,C2,C3,C4
4.8,5.6,5.2,3.935
6.0,4.4,4.8,4.328
5.6,7.0,4.8,3.294
7.0,5.2,4.8,3.45
5.6,5.2,4.4,4.252
8.0,7.0,4.8,2.8
5.6,6.0,5.2,3.381
3.6,6.0,5.6,4.755
6.0,4.4,5.2,4.047
7.0,5.2,4.4,3.691
5.2,7.0,4.4,3.691
5.6,4.0,5.6,4.421
5.2,6.0,4.8,3.759
4.0,6.0,4.8,4.8
5.6,5.6,4.4,4.017
8.0,4.4,5.2,3.463
8.0,6.0,5.6,2.754
8.0,4.8,5.2,3.25
6.0,6.0,5.2,3.25
8.0,6.0,4.4,3.181
5.2,5.6,4.8,3.935
5.2,4.8,5.2,4.16
6.0,5.6,4.0,4.2
4.4,7.0,4.8,3.924
5.6,4.0,5.2,4.707
7.0,7.0,4.4,3.122
5.2,7.0,3.6,4.537
4.8,6.0,4.4,4.328
4.4,5.6,5.2,4.252
7.0,4.0,4.8,4.308
5.6,7.0,3.6,4.271
8.0,7.0,4.4,2.957
7.0,4.8,4.4,3.924
6.0,4.0,4.8,4.8
5.6,6.0,4.0,4.2
6.0,5.2,5.6,3.381
8.0,4.4,4.0,4.328
5.6,6.0,5.6,3.231
6.0,4.4,4.4,4.714
4.8,6.0,5.2,3.759
7.0,6.0,4.8,3.17
4.4,4.8,5.6,4.563
7.0,5.6,3.6,4.271
8.0,5.2,4.0,3.759
8.0,6.0,4.8,3.0
8.0,5.6,5.2,2.963
5.2,7.0,4.8,3.45
7.0,4.4,5.6,3.513
