C1,C2,C3,C4
8.0,7.0,5.6,2.585
8.0,7.0,5.2,2.68
8.0,7.0,4.8,2.8
7.0,7.0,5.6,2.71
8.0,7.0,4.4,2.957
8.0,7.0,3.6,3.476
8.0,7.0,4.0,3.17
7.0,7.0,5.2,2.814
8.0,6.0,5.6,2.754
7.0,7.0,4.8,2.947
7.0,7.0,4.4,3.122
8.0,6.0,5.2,2.862
7.0,7.0,3.6,3.706
4.0,7.0,4.4,4.69
7.0,7.0,4.0,3.36
7.0,6.0,5.6,2.897
8.0,5.6,5.6,2.847
8.0,6.0,4.8,3.0
4.4,7.0,4.0,4.69
4.0,7.0,4.8,4.308
3.6,7.0,5.2,4.537
6.0,7.0,5.6,2.897
8.0,3.6,5.6,3.969
7.0,3.6,5.6,4.271
7.0,6.0,5.2,3.017
8.0,5.2,5.6,2.963
8.0,5.6,5.2,2.963
5.2,7.0,3.6,4.537
4.8,4.4,5.6,4.563
6.0,7.0,5.2,3.017
3.6,7.0,5.6,4.271
8.0,4.0,5.6,3.574
4.4,6.0,4.4,4.714
6.0,4.8,4.0,4.8
4.4,7.0,4.4,4.239
8.0,6.0,4.4,3.181
6.0,7.0,4.8,3.17
4.8,7.0,4.0,4.308
7.0,5.6,5.6,3.0
6.0,3.6,5.6,4.755
8.0,4.4,5.6,3.306
8.0,4.8,5.6,3.111
5.2,4.0,5.6,4.707
4.0,7.0,5.2,4.03
4.4,4.8,5.6,4.563
4.8,7.0,5.6,3.294
8.0,6.0,3.6,3.789
4.8,6.0,4.0,4.8
