C1,C2,C3,C4
8.0,6.0,5.6,2.754
8.0,5.6,5.6,2.847
7.0,3.6,5.6,4.271
8.0,5.2,5.6,2.963
8.0,4.0,5.6,3.574
7.0,7.0,3.6,3.706
8.0,3.6,5.6,3.969
8.0,6.0,5.2,2.862
7.0,6.0,5.6,2.897
6.0,4.8,4.0,4.8
6.0,3.6,5.6,4.755
8.0,4.8,5.6,3.111
8.0,4.4,5.6,3.306
6.0,5.6,3.6,4.755
8.0,5.6,5.2,2.963
3.6,7.0,5.6,4.271
6.0,7.0,5.6,2.897
5.2,4.0,5.6,4.707
8.0,4.8,3.6,4.5
7.0,5.6,5.6,3.0
3.6,7.0,5.2,4.537
5.6,6.0,3.6,4.755
5.6,5.2,4.0,4.707
4.8,4.4,5.6,4.563
7.0,3.6,5.2,4.537
7.0,5.2,3.6,4.537
5.2,7.0,3.6,4.537
6.0,6.0,3.6,4.5
8.0,3.6,4.8,4.5
7.0,4.0,5.6,3.818
8.0,3.6,5.2,4.197
6.0,6.0,5.6,3.111
8.0,6.0,4.8,3.0
7.0,7.0,4.0,3.36
8.0,4.0,4.0,4.8
6.0,5.2,4.0,4.457
7.0,6.0,5.2,3.017
6.0,5.6,5.6,3.231
5.6,7.0,3.6,4.271
6.0,7.0,5.2,3.017
5.6,7.0,5.6,3.0
6.0,7.0,3.6,4.065
8.0,5.2,5.2,3.089
6.0,5.2,5.6,3.381
4.0,7.0,5.6,3.818
5.2,7.0,5.6,3.129
8.0,5.2,3.6,4.197
7.0,5.6,3.6,4.271
