row_id,cell_id,cycle_index,discharge_capacity,charge_capacity,discharge_energy,charge_energy,dc_internal_resistance,temperature_maximum,temperature_average,temperature_minimum,energy_efficiency,charge_throughput,energy_throughput,charge_duration,time_temperature_integrated,paused
0,surrogate_cell_00000,1,1.0522928,1.0515788,3.2053177,3.6543031,,34.92862319946289,32.61216354370117,30.435998916625977,0.877135157585144,2.101624011993408,7.3188982009887695,640.0,1525.9741149839922,0.0
0,surrogate_cell_00000,2,1.0537009,1.0532342,3.2127028,3.6568418,,35.12455749511719,32.90110397338867,30.705678939819336,0.8785457611083984,3.154858350753784,10.975739479064941,640.0,1469.8073208990984,0.0
0,surrogate_cell_00000,3,1.0546503,1.0542977,3.2170169,3.6583748,,35.19697189331055,33.072574615478516,30.86056137084961,0.879356861114502,4.209156036376953,14.634114265441895,640.0,1546.7843116622644,0.0
0,surrogate_cell_00000,4,1.055346,1.0550555,3.2205684,3.6596029,,35.282962799072266,33.159603118896484,30.982341766357422,0.8800321817398071,5.264211654663086,18.293718338012695,640.0,1481.429295630713,0.0
0,surrogate_cell_00000,5,1.0555578,1.0556169,3.2226317,3.6602602,,35.33146667480469,33.253196716308594,31.084228515625,0.8804378509521484,6.319828510284424,21.953977584838867,640.0,1485.0931462846206,0.0
0,surrogate_cell_00000,6,1.0559348,1.0557708,3.2245383,3.6597586,,35.40392303466797,33.32292556762695,31.13620948791504,0.8810794949531555,7.375599384307861,25.613737106323242,640.0,1558.4825752724569,0.0
0,surrogate_cell_00000,7,1.0560111,1.0560299,3.2256126,3.6599286,,35.43743133544922,33.358978271484375,31.1588191986084,0.8813320994377136,8.431629180908203,29.273664474487305,512.0,1489.9017598267856,0.0
0,surrogate_cell_00000,8,1.0563686,1.0562282,3.2268939,3.6598263,,35.46424102783203,33.39451217651367,31.153125762939453,0.8817068338394165,9.4878568649292,32.93349075317383,512.0,1490.8107184975697,0.0
0,surrogate_cell_00000,9,1.0564919,1.0564636,3.2277412,3.6601889,,35.55414962768555,33.43600845336914,31.165557861328125,0.8818510174751282,10.544321060180664,36.59368133544922,640.0,1492.9202148827999,0.0
0,surrogate_cell_00000,10,1.0564996,1.0565213,3.2281218,3.6601028,,35.529319763183594,33.46334457397461,31.24301528930664,0.8819757103919983,11.600842475891113,40.2537841796875,640.0,1492.9220239199265,0.0
