row_id,cell_id,discharge_capacity_cycle_1,discharge_capacity_cycle_9,discharge_capacity_cycle_99,discharge_capacity_max_cycle_0_to_99,discharge_capacity_delta_cycle_0_to_99,discharge_capacity_slope_cycle_0_to_99,discharge_capacity_intercept_cycle_0_to_99,discharge_capacity_max_cycle_91_to_99,discharge_capacity_delta_cycle_91_to_99,discharge_capacity_slope_cycle_91_to_99,discharge_capacity_intercept_cycle_91_to_99,discharge_discharge_capacity_curve_delta_identity_min_cycle_99_minus_9,discharge_discharge_capacity_curve_delta_identity_mean_cycle_99_minus_9,discharge_discharge_capacity_curve_delta_identity_var_cycle_99_minus_9,discharge_discharge_capacity_curve_delta_identity_skew_cycle_99_minus_9,discharge_discharge_capacity_curve_delta_identity_sum_abs_cycle_99_minus_9,discharge_discharge_capacity_curve_delta_identity_sum_sq_cycle_99_minus_9,discharge_discharge_capacity_curve_delta_log_abs_min_cycle_99_minus_9,discharge_discharge_capacity_curve_delta_log_abs_mean_cycle_99_minus_9,discharge_discharge_capacity_curve_delta_log_abs_var_cycle_99_minus_9,discharge_discharge_capacity_curve_delta_log_abs_skew_cycle_99_minus_9,discharge_discharge_capacity_curve_delta_log_abs_sum_abs_cycle_99_minus_9,discharge_discharge_capacity_curve_delta_log_abs_sum_sq_cycle_99_minus_9
0,surrogate_cell_00000,1.0522928,1.0564919,1.0541875,1.5322578,-0.47807029999999995,-0.0003025285766576673,1.0755972915445544,1.0545979,-0.00020669999999989308,-3.833499999996851e-05,1.0580394027777744,-0.022412120714004002,-0.009725099868391467,9.697091743913516e-05,-0.15413780090035853,9.839337686140004,0.19154848488932283,-6.426191750890236,-2.7593500267188946,1.298864101017492,-0.4946380350407084,2759.3500267188947,8912.876670971058
1,surrogate_cell_00001,1.0550736,1.0592695,1.05897,1.545769,-0.486799,-0.00028803766456646224,1.0789776903960397,1.0592129,-0.00022410000000006036,-9.623333333306132e-06,1.060045661111108,-0.016644656501287325,-0.005525881555492678,5.291935018394346e-05,-0.45041270202384975,6.235791335771707,0.08345471714927763,-5.783215409858418,-2.8084842886448214,0.9405485446612681,-0.7596604408025496,2808.4842886448214,8828.132544226079
2,surrogate_cell_00002,1.053073,1.0578543,1.0575666,1.5421211,-0.4845545,-0.0002841118271827205,1.0773586434455447,1.0579516,-0.0003850000000000797,-4.624666666662047e-05,1.0622110888888838,-0.02058523801910983,-0.007389709192026676,7.99418711736183e-05,-0.3758922968065144,7.97051821090481,0.13454967311634186,-6.182981790564946,-2.721166793976745,0.932406636697514,-0.5652257694714495,2721.166793976745,8337.155357339192
3,surrogate_cell_00003,1.0577432,1.0621078,1.0607857,1.5526532,-0.4918674999999999,-0.00030138526672667735,1.0819676677029708,1.0610487,-0.0002629999999999022,-2.691499999994616e-05,1.0635143361111055,-0.013249752922710023,-0.0016070782110164435,4.848845433011732e-05,-0.24451024979798724,5.053673208957263,0.05107115470644113,-6.902645781520273,-2.7289568708574405,0.5552278051536821,-0.4383079138325275,2728.9568708574407,8002.433408153717
4,surrogate_cell_00004,1.0791575,1.0828794,1.0801687,1.567601,-0.48743230000000004,-0.0003101855217521826,1.1021338733267332,1.0809621,-0.0007934000000000552,-9.866666666663019e-05,1.0899196444444408,-0.01787852972800197,-0.008672398729065578,5.936312153470525e-05,0.1034955847558033,8.749997050795475,0.13457362125060354,-5.8033209835819095,-2.6279368321971095,0.9889098719367712,-0.8094119417774015,2627.9368321971097,7894.961865954951
5,surrogate_cell_00005,1.0542371,1.0571291,1.0559855,1.5491842,-0.4931987,-0.0003024965982598332,1.076837670613862,1.0562232,-0.00023770000000000735,-2.9818333333306e-05,1.0589382416666637,-0.029226719977549553,-0.013063522179389735,0.00015949510109402573,-0.09383885428210408,13.127943742837338,0.3301507128254333,-6.393297931761085,-2.6852032036304077,1.510978939392783,-0.5691059799971265,2685.2032036304076,8721.295184179788
6,surrogate_cell_00006,1.0439922,1.0488098,1.0483464,1.540329,-0.49198260000000005,-0.00029132497209721477,1.068544552118812,1.0486426,-0.00017519999999993097,-1.0633333333282962e-05,1.049563644444439,-0.023049114366030188,-0.008064183422604043,0.00010989002657035241,-0.2687331782871806,9.336201397432589,0.17492108084375427,-5.491386642506536,-2.6120482934372364,0.9038592671255629,-0.623784514549562,2612.048293437236,7726.65555437394
7,surrogate_cell_00007,1.0722029,1.0763844,1.0738052,1.5598054,-0.4860001999999999,-0.0003089493675367608,1.0955300806930695,1.0742022,-0.0003969999999999807,-4.927333333327133e-05,1.0786811888888823,-0.04969525268326147,-0.02419193691688891,0.0004794621685976818,0.07100440782129591,24.19749332822497,1.0647119803884142,-5.363000093815411,-2.447474045135092,1.7173267114222586,-0.677563766116255,2447.4740451350917,7707.45591303219
8,surrogate_cell_00008,1.070062,1.073041,1.0714115,1.5561621,-0.48475060000000014,-0.00030108645004500793,1.092512240277228,1.0718157,-0.0004041999999999657,-5.147499999996349e-05,1.0764628472222182,-0.04048567590254082,-0.019350358322807078,0.0003080654048258779,0.0553547518703144,19.36912476797596,0.6825017720469071,-6.056924830216148,-2.5528925047962145,1.841955394375032,-0.857290999274473,2552.8925047962143,8359.215535419722
9,surrogate_cell_00009,1.0730541,1.0770957,1.075511,1.5617932,-0.4862822,-0.0003004880204020468,1.0963829090099018,1.075767,-0.00025599999999981193,-3.008333333326831e-05,1.0785074499999932,-0.025536536670521137,-0.011390343537884286,0.00011769636076801559,-0.07768992358217217,11.425722505637774,0.24743628667903794,-6.311028808723992,-2.7203826155877024,1.4902747112469181,-0.6768430211887116,2720.3826155877023,8890.756286438707
